Pays,Densite_2018
Monde,58.7
Afghanistan,55.7
Afrique du Sud,47.3
Albanie,107.1
Algérie,17.6
Allemagne,236.1
Andorre,163.7
Angola,24.7
Anguilla,167.2
Antigua-et-Barbuda,234.2
Arabie saoudite,15.6
Argentine,16.3
Arménie,103.1
Aruba,587.1
Australie,3.2
Autriche,106.2
Azerbaïdjan,120.1
Bahamas,39.9
Bahreïn,2061.8
Bangladesh,1278.1
Barbade,666.0
Belgique,379.7
Belize,16.8
Bénin,101.9
Bermudes,1221.4
Bhoutan,21.4
Biélorussie,46.6
Birmanie,82.4
Bolivie,10.4
Bosnie-Herzégovine,68.7
Botswana,4.1
Brésil,25.2
Brunei,82.4
Bulgarie,64.8
Burkina Faso,72.2
Burundi,436.8
Îles Caïmans,259.8
Cambodge,92.0
Cameroun,52.2
Canada,4.1
Cap-Vert,137.3
République centrafricaine,7.6
Chili,24.5
Chine,150.7
Chypre,128.7
Colombie,44.6
Comores,447.3
République du Congo,15.8
République démocratique du Congo,37.1
Îles Cook,72.5
Corée du Nord,212.7
Corée du Sud,526.2
Costa Rica,97.0
Côte d'Ivoire,78.3
Croatie,74.4
Cuba,107.9
Curaçao,363.9
Danemark,135.6
Djibouti,41.9
République dominicaine,225.2
Dominique,99.1
Égypte,99.8
Émirats arabes unis,114.1
Équateur,67.9
Érythrée,51.4
Espagne,93.0
Estonie,30.8
Eswatini,80.9
États-Unis,35.7
Éthiopie,107.5
Îles Féroé,35.5
Fidji,49.9
Finlande,18.2
France,119.1
Gabon,8.0
Gambie,213.8
Géorgie,56.2
Ghana,129.5
Gibraltar,3473.3
Grèce,86.4
Grenade,318.6
Groenland,0.03
Guadeloupe,265.8
Guam,306.9
Guatemala,160.9
Guernesey et Jersey,874.1
Guinée,53.1
Guinée-Bissau,67.8
Guinée équatoriale,46.8
Guyana,4.0
Guyane,3.5
Haïti,403.2
Honduras,84.2
Hong Kong,7075.1
Hongrie,107.0
Inde,455.4
Indonésie,147.3
Irak,90.6
Iran,50.4
Irlande,69.7
Islande,3.4
Israël,390.6
Italie,201.6
Jamaïque,267.7
Japon,348.9
Jordanie,111.6
Kazakhstan,6.8
Kenya,89.5
Kirghizistan,32.0
Kiribati,146.2
Koweït,235.5
Laos,30.2
Lesotho,74.5
Lettonie,31.0
Liban,595.7
Liberia,50.4
Libye,3.7
Liechtenstein,238.5
Lituanie,45.9
Luxembourg,227.9
Macao,21151.1
Macédoine du Nord,82.7
Madagascar,45.1
Malaisie,97.5
Malawi,203.3
Maldives,1480.9
Mali,15.7
Malouines,0.2
Malte,1350.3
Île de Man,148.8
Îles Mariannes du Nord,120.0
Maroc,81.1
Îles Marshall,295.4
Martinique,363.3
Maurice,624.8
Mauritanie,4.4
Mayotte,692.5
Mexique,67.3
Micronésie,151.8
Moldavie,123.0
Monaco,26105.4
Mongolie,2.0
Monténégro,46.8
Montserrat,52.0
Mozambique,38.8
Namibie,3.1
Nauru,565.6
Népal,206.7
Nicaragua,52.2
Niger,17.6
Nigeria,215.1
Niue,6.2
Norvège,14.7
Nouvelle-Calédonie,15.3
Nouvelle-Zélande,18.0
Oman,15.6
Ouganda,221.6
Ouzbékistan,76.1
Pakistan,260.5
Palaos,47.7
Palestine,839.3
Panama,56.0
Papouasie-Nouvelle-Guinée,18.6
Paraguay,17.4
Pays-Bas,506.7
Pérou,25.4
Philippines,357.2
Pologne,124.4
Polynésie française,78.1
Porto Rico,412.5
Portugal,112.4
Qatar,232.1
La Réunion,353.3
Roumanie,85.1
Royaume-Uni,275.2
Russie,8.8
Rwanda,506.7
Sahara occidental,2.1
Saint-Christophe-et-Niévès,214.8
Saint-Marin,559.3
Saint-Martin,1192.7
Saint-Pierre-et-Miquelon,27.6
Saint-Vincent-et-les-Grenadines,282.6
Sainte-Hélène,10.4
Sainte-Lucie,294.5
Îles Salomon,22.3
Salvador,309.4
Samoa,69.9
Samoa américaines,278.4
Sao Tomé-et-Principe,217.5
Sénégal,84.6
Serbie,100.2
Seychelles,207.0
Sierra Leone,107.0
Singapour,8274.1
Slovaquie,113.3
Slovénie,103.3
Somalie,24.2
Soudan,23.5
Soudan du Sud,21.1
Sri Lanka,334.1
Suède,24.3
Suisse,216.2
Suriname,3.6
Syrie,99.6
Tadjikistan,65.1
Taïwan,669.1
Tanzanie,66.7
Tchad,12.2
Tchéquie,137.6
Thaïlande,135.4
Timor oriental,89.0
Togo,146.9
Tokelau,131.9
Tonga,151.4
Trinité-et-Tobago,267.6
Tunisie,75.0
Turkménistan,12.5
Îles Turques-et-Caïques,37.9
Turquie,106.4
Tuvalu,376.2
Ukraine,76.0
Uruguay,19.8
Vanuatu,23.1
Vatican,1820.5
Venezuela,36.7
Îles Vierges britanniques,211.5
Îles Vierges des États-Unis,299.8
Viêt Nam,311.2
Wallis-et-Futuna,83.4
Yémen,54.8
Zambie,23.7
Zimbabwe,43.7
